nuncira	nuncira (1)(1.0): nuncira
zubieta	subieta, zubieta (2)(0.8571428656578064): subieta, zubieta
masias	masias (4)(0.8333333134651184): macias, masias, matias, mesias
nunez	nunez, nuñez (2)(0.800000011920929): nunez, nuñez
olaya	alaya (4)(0.800000011920929): alaya, amaya, anaya, olaya
nitola	hitola, mitola, nitola (3)(0.8333333134651184): hitola, mitola, nitola
zaraza	saraza, zaraza (2)(0.8333333134651184): saraza, zaraza
celys	celis, celys (4)(0.7000000178813934): celi, celis, cely, celys
mendis	mendes, mendis (5)(0.738095223903656): mende, mendes, mendi, mendis, mendosa
celis	celi, celia, celis, celiz (4)(0.800000011920929): celi, celia, celis, celiz
restrepo	restrepo (1)(1.0): restrepo
artiz	ortiz (7)(0.8166666626930237): artiz, ortin, ortis, ortix, ortiz, orytiz, otiz
menjure	menjure (3)(0.8660714328289032): menjura, menjure, menjuren
aranguren	arangure, aranguren (2)(0.8888888955116272): arangure, aranguren
guillin	guillen (6)(0.8273809552192688): aguillon, gillen, guillen, guilleng, guillent, guillin
lombana	lombana, lombano (2)(0.8571428656578064): lombana, lombano
abril	abril (4)(0.7825396855672201): abnril, abril, abriñ, gabriel
coteiro	coteiro, coterio (2)(0.7142857313156128): coteiro, coterio
salamamca	salamanca (9)(0.8555555542310079): salamamca, salamanaca, salamanca, salamca, salamnca, salanmanca, salmanca, slamanca, solamanca
duarte	duarte (1)(1.0): duarte
iriarte	iriarte (1)(1.0): iriarte
raba	raba, rada, rava (3)(0.75): raba, rada, rava
carvjal	carvajal (7)(0.8379629651705424): carvaja, carvajal, carvajas, carvalja, carvasjal, carvjal, cavajal
zatizabal	satizabal, zatizabal (2)(0.8888888955116272): satizabal, zatizabal
ochica	chica, ochica (2)(0.8333333134651184): chica, ochica
rosendo	rosero (7)(0.7738095223903656): rodero, romero, rosendo, rosero, rosro, royero, rusero
albarrracin	albarracin (8)(0.8340909034013748): albararcion, albarracil, albarracin, albarracion, albarran, albarrracin, albbarracin, albrracin
aceldas	acelas, aceldas (2)(0.8571428656578064): acelas, aceldas
roso	roso, rosso (2)(0.800000011920929): roso, rosso
grandas	granda (6)(0.8015873034795126): granada, granda, grandas, grande, grandos, granja
guativonza	guatibonza (3)(0.8999999761581421): guatibonza, guatiboza, guativonza
ganzalez	gonzalez (11)(0.8819444477558136): ganzalez, gomzalez, gonazalez, gonzale, gonzalea, gonzales, gonzalez, gonzalñez, gonzaqlez, gonzxalez, gozalez
lobon	lobon (4)(0.7571428716182709): lobaton, lobo, lobon, tobon
cornelio	cornelio (1)(1.0): cornelio
victor	victor, victoria (2)(0.75): victor, victoria
viña	viña (3)(0.75): piña, vija, viña
quinaya	quinaya, quitana (2)(0.7142857313156128): quinaya, quitana
madrid	lamadrid, madrid (2)(0.75): lamadrid, madrid
bellizia	bellizia (1)(1.0): bellizia
frnco	frnco (3)(0.8333333134651184): franco, frnaco, frnco
moreno	moreno (9)(0.8452380895614624): mareno, mopreno, morelo, morenio, moreno, morenop, morerno, morreno, mreno
norato	norato, noratto (2)(0.8571428656578064): norato, noratto
zambrano	sambrano (5)(0.8009259303410848): lambraño, sambrano, sambraño, zamabrano, zambrano
guio	guio (3)(0.7750000059604645): gui, guijo, guio
ferraro	ferraro (1)(1.0): ferraro
ordonez	ordonez, ordoñez (2)(0.8571428656578064): ordonez, ordoñez
micolta	mitola (4)(0.7738095223903656): hitola, micolta, mitola, nitola
castrillon	castillo (9)(0.8354166746139526): cantillo, casatillo, castellon, castillo, castllo, castrillo, castrillon, catillo, cstillo
toro	tobos, toros (4)(0.7000000178813934): tobo, tobos, toro, toros
nocua	nocua (3)(0.800000011920929): nocoa, nocua, tocua
cesar	cesar (1)(1.0): cesar
boyona	bayona (4)(0.8452380895614624): baoyona, bayana, bayona, boyona
piraguta	piraguta (4)(0.8819444477558136): piragauta, piragua, piraguata, piraguta
sawenz	saenz (7)(0.8166666626930237): aenz, saens, saenz, saez, sahenz, sanz, sawenz
guesguan	guesguan, guezguan, queguan, quenguan (4)(0.7916666666666666): guesguan, guezguan, queguan, quenguan
aya	maya (4)(0.7750000059604645): amaya, aya, maya, yaya
mutis	mutis (1)(1.0): mutis
gross	gross (6)(0.7825396855672201): gorosso, grass, gros, groso, gross, grosso
turriago	turriago (1)(1.0): turriago
uyazan	uyazan (3)(0.8333333134651184): urazan, uyaban, uyazan
villalobos	villabos, villalobos (2)(0.800000011920929): villabos, villalobos
fuentes	fuentes (6)(0.8263888955116272): cifuentes, cufuentes, fuentes, fuentres, nfuentes, sifuentes
nunpaque	numpaque (3)(0.875): nimpaque, numpaque, nunpaque
caraballo	carabali, caraballo (2)(0.7777777910232544): carabali, caraballo
ospina	ospina, ospino (2)(0.8333333134651184): ospina, ospino
agulera	agulera (4)(0.7946428656578064): agudela, agueda, aguilera, agulera
paredes	paredes, paredess (2)(0.875): paredes, paredess
rizo	rico, rigo, rizo (3)(0.75): rico, rigo, rizo
mecon	melon (3)(0.800000011920929): mecon, melo, melon
monterrey	monterrey (1)(1.0): monterrey
gelgado	salgado (5)(0.8154761989911398): delgado, gelgado, salgadao, salgado, zalgado
amorocho	amorocho (1)(1.0): amorocho
oliverio	olivero (4)(0.8660714328289032): olivera, oliverio, olivero, oliveros
fabra	fabra (3)(0.7571428716182709): fabra, fabrega, faura
jacanamijoy	jacanamijoy (1)(1.0): jacanamijoy
cortina	cortina (1)(1.0): cortina
lirazo	lizarazo (5)(0.8379629651705424): lilzarazo, lirazo, lizaraso, lizarazo, lizarozo
gudino	gudino, gudiño (2)(0.8333333134651184): gudino, gudiño
cipamocha	cipamocha (4)(0.8944444358348846): cipamocha, cipamoha, cipamopcha, zipamocha
bareto	barreto (7)(0.8154761989911398): bareto, bareño, barrato, barrero, barrerto, barreto, berreto
cuadro	cuadro (4)(0.8134920597076416): cuadra, cuadrado, cuadro, cuadros
moncada	moncada, moncayo (2)(0.7142857313156128): moncada, moncayo
barazeta	barazeta (1)(1.0): barazeta
chavarro	chaparro (6)(0.8819444477558136): cahaparro, chaparro, chaparroa, chaparrro, chaprro, chavarro
fracica	fracica (5)(0.8154761989911398): faracica, fracica, francia, francica, frasica
zora	lora, mora, sora, zora (4)(0.75): lora, mora, sora, zora
colemnares	colmenares (5)(0.8499999940395355): colemnares, colmebares, colmenares, colmenarez, comenares
najar	najar (3)(0.8166666626930237): anajar, nafar, najar
guacaneme	guaneme (3)(0.7638888955116272): guacaneme, guaneme, sutaneme
terraza	terraza (1)(1.0): terraza
hernesto	hernesto (1)(1.0): hernesto
toledo	toledo (3)(0.7738095223903656): robledo, toledo, tolero
astros	astro (4)(0.8333333134651184): astro, astros, astroz, castro
guutierrez	gutierrez (11)(0.8555555542310079): gitierrez, guierrez, guitierrez, gurtierrez, gutieeres, gutierez, gutierreez, gutierres, gutierrez, gutirrez, guutierrez
aguirrre	aguirre (6)(0.8660714328289032): aguire, aguirre, aguirree, aguirrre, agurre, aquirre
ruvio	rubio, ruvio (2)(0.800000011920929): rubio, ruvio
cuervo	cuervo (4)(0.8333333134651184): cuero, cuervo, cuevo, curvo
quinchara	quinchia (4)(0.7638888955116272): quinchara, quinche, quinchia, quincho
chon	chon, chona (2)(0.800000011920929): chon, chona
arangure	arangure, aranguren (2)(0.8888888955116272): arangure, aranguren
caballero	caballero (1)(1.0): caballero
pirabaguen	pirabaque (4)(0.8444444537162781): pirabague, pirabaguen, pirabaque, pirataque
dagua	fagua (5)(0.8166666626930237): cagua, dagua, fagua, fargua, ragua
canteras	contreras (5)(0.8333333432674408): canteras, conteras, contrerar, contreras, contrras
ucross	ucros (3)(0.8333333134651184): hucros, ucros, ucross
reyes	reyes (3)(0.800000011920929): reyas, reyes, reyez
pita	pira, pita, piña (3)(0.75): pira, pita, piña
chaparo	chaparro (7)(0.8819444477558136): cahaparro, chaparo, chaparro, chaparroa, chaparrro, chaprro, chavarro
ibarra	ibarra (1)(1.0): ibarra
rodriuez	rodriguez (27)(0.8555555542310079): odriguez, redriguez, ridriguez, robriguez, rodiguez, rodirguez, rodlriguez, rodrdiguez, rodreiguez, rodrgiuez, rodrguez, rodrifguez, rodrigez, rodrigguez, rodrigiuez, rodriguaz, rodrigue, rodriguez, rodriguiez, rodrigurez, rodriguuez, rodriuez, rodruiguez, rofdriguez, rogriguez, ropdriguez, srodriguez
pozo	mozo, pozo, rozo (3)(0.75): mozo, pozo, rozo
cardozo	cardozo (3)(0.8571428656578064): cardoza, cardozo, crdozo
barina	baranoa, baranza (2)(0.8571428656578064): baranoa, baranza
quineme	quineme (1)(1.0): quineme
brevo	bravo, brevo (2)(0.800000011920929): bravo, brevo
perz	perez (4)(0.8166666626930237): paerez, peraz, perez, perz
monosalva	monosalva (5)(0.8333333432674408): mamosalva, manosalva, monosalva, monsalve, monsalvo
ciseri	cisnero (3)(0.7946428656578064): ciseri, cisnero, cisneros
auala	auala, auila (2)(0.800000011920929): auala, auila
severiche	severiche (1)(1.0): severiche
poblador	poblador (1)(1.0): poblador
cortela	cortela (1)(1.0): cortela
nope	nope (1)(1.0): nope
umbarila	umbarila (6)(0.8379629651705424): umbacia, umbariba, umbarila, umbarilla, umbariva, umbasia
linarez	olivarez (5)(0.75): linares, linarez, lvarez, olivares, olivarez
mendes	mendes (4)(0.8333333134651184): mende, mendes, mendez, mendis
suspez	suspes, suspez (2)(0.8333333134651184): suspes, suspez
valdes	valdes (5)(0.7499999701976776): caldes, caldez, valdes, valdez, valles
paarada	parada (6)(0.8015873034795126): paarada, parada, parado, parrade, parrado, prada
villarreal	villareal, villarreal (2)(0.8999999761581421): villareal, villarreal
pan	pan (1)(1.0): pan
hernande	hernandez (13)(0.8555555542310079): ernandez, fernandez, fernanez, henandez, herandez, hernadez, hernanadez, hernande, hernandez, hernandz, hernanedz, hernendez, hrnandez
willamil	villamir (6)(0.8083333373069763): villamicar, villamil, villamir, villamizar, villamor, willamil
laserna	laserna (1)(1.0): laserna
almanza	almanza (3)(0.8660714328289032): almanza, almanzar, armanza
morakes	morales (4)(0.8660714328289032): molrales, morakes, morales, moralez
gracia	gracia (1)(1.0): gracia
trinidad	trinidad (1)(1.0): trinidad
cogaria	cobaria, covaria, tobaria, tovaria (6)(0.7857142984867096): cobaria, cogaria, covaria, tobaria, tocaria, tovaria
pacagui	pacagui (1)(1.0): pacagui
pacasuca	pacasuca (3)(0.8125): pacasuca, pacazuca, pasuca
serpa	serna, serpa (2)(0.800000011920929): serna, serpa
basquez	vasquez (6)(0.7857142984867096): basquez, maquez, vaquez, vasques, vasquez, vazquez
ferrerira	ferreira (4)(0.8194444477558136): ferreira, ferrer, ferrerira, pereira
catano	catano (1)(1.0): catano
rueda	rueda (4)(0.8166666626930237): ruda, rueda, ruedas, ruera
usechi	useche (3)(0.8333333134651184): useche, usechi, usuche
covo	covo, covos (2)(0.800000011920929): covo, covos
rubio	rubio, ruvio (2)(0.800000011920929): rubio, ruvio
contichara	contichara, cotinchara (2)(0.800000011920929): contichara, cotinchara
villamir	villamir (6)(0.8083333373069763): villamicar, villamil, villamir, villamizar, villamor, willamil
tipasoca	tipasoca (5)(0.8009259303410848): quipasoca, sipasuca, tipasoca, tipazoca, zipasuca
rairan	rairan, reiran (2)(0.8333333134651184): rairan, reiran
pacavita	pacavita (4)(0.7638888955116272): cascavita, pacacira, pacasira, pacavita
guerra	guerra (1)(1.0): guerra
rua	rua, ruda (2)(0.75): rua, ruda
eslava	eslava (3)(0.8452380895614624): eslaba, eslava, eslavia
parrado	parado, parrado (2)(0.8571428656578064): parado, parrado
angulo	argullo (4)(0.8154761989911398): angulo, argello, arguello, argullo
barreneche	barreneche (1)(1.0): barreneche
patalagua	pacalagua, patalagua (2)(0.8888888955116272): pacalagua, patalagua
yopasa	yopasa (1)(1.0): yopasa
campo	campo (4)(0.7738095223903656): campiño, campo, campos, ocampo
quiche	quiche, quinche (2)(0.8571428656578064): quiche, quinche
bracamonte	bracamonte (1)(1.0): bracamonte
casteblancoo	casteblanco (8)(0.8693181723356247): casteblanco, casteblancoo, castelanco, castelblanco, castellano, castiblanco, castilblanco, gastelblanco
neussa	neussa (3)(0.8333333134651184): neissa, neusa, neussa
hansel	hansel (1)(1.0): hansel
landeros	landeros (4)(0.8263888955116272): lanceros, lancheros, landero, landeros
sarmineto	sarmiento (4)(0.7979798018932343): sarmeinto, sarmiento, sarmineto, sarmrmiento
pasatoa	pasatoa (1)(1.0): pasatoa
quiroga	quiroga (4)(0.8154761989911398): quiroga, quiroja, quiros, quuiroga
lescano	lescano (3)(0.7142857313156128): lescano, lizcano, toscano
corcho	corcho (3)(0.8333333134651184): concho, corcho, curcho
nojica	mojica (5)(0.8333333134651184): majica, mijica, mojica, mujica, nojica
vivas	rivas, vivas (2)(0.800000011920929): rivas, vivas
velasquz	velasquez (5)(0.8333333432674408): velasques, velasquez, velasquz, velazques, velazquez
toncon	toncon (1)(1.0): toncon
cachope	cachope (1)(1.0): cachope
saegura	segura (3)(0.8452380895614624): saegura, segua, segura
matiz	matinez (3)(0.7857142984867096): marinez, matinez, matiz
cuchivague	cuchivague (6)(0.8696969548861185): cuchibague, cuchimaque, cuchivage, cuchivague, cuchivaguen, cuchivaque
anaya	alaya, amaya, anaya (3)(0.800000011920929): alaya, amaya, anaya
piñarete	peñarete, piñarete (2)(0.875): peñarete, piñarete
cobides	cubides (5)(0.8571428656578064): cibides, cobides, cubides, cubidez, cuvides
matta	mata, matta (5)(0.800000011920929): malta, manta, mata, matla, matta
huyos	hoyos, huyos (2)(0.800000011920929): hoyos, huyos
colomba	colomba (1)(1.0): colomba
guayara	guayaban, guayacan, guayasan, guayatan, guayazan (6)(0.75): guayaban, guayacan, guayara, guayasan, guayatan, guayazan
ortix	ortiz (5)(0.8166666626930237): ortin, ortis, ortix, ortiz, orytiz
sibo	sibo (1)(1.0): sibo
noriega	noriega, noriego (2)(0.8571428656578064): noriega, noriego
lemer	lemer (1)(1.0): lemer
tenjo	tenjo (1)(1.0): tenjo
paipa	paipa (4)(0.8166666626930237): paiba, paipa, paiva, papipa
poloche	poloche (1)(1.0): poloche
auila	auala, auila (2)(0.800000011920929): auala, auila
fgueroa	fgueroa (3)(0.7946428656578064): fgueroa, figueroa, guerra
carvanza	carranza (3)(0.8819444477558136): carranza, carranzqa, carvanza
grau	grau (1)(1.0): grau
piñeres	piñeres, piñeros (2)(0.8571428656578064): piñeres, piñeros
ocacion	ocacion, ocasion (2)(0.8571428656578064): ocacion, ocasion
avalo	arevalo (4)(0.7857142984867096): aravalo, arevalo, avalo, erevalo
gurtierrez	gutierrez (11)(0.8555555542310079): gitierrez, guierrez, guitierrez, gurtierrez, gutieeres, gutierez, gutierreez, gutierres, gutierrez, gutirrez, guutierrez
conguta	conguta, ponguta (4)(0.7857142984867096): congua, conguta, pnguta, ponguta
corrdedor	corredor (9)(0.828472226858139): coredor, corrdedor, corredin, corredo, corredop, corredor, corregidor, correjidor, correo
legizamo	leguizamon (6)(0.8499999940395355): legizamo, legizamon, leguizamo, leguizamon, leguzamon, lequizamon
chizavo	chitibo, chitivo, chizabo, chizavo (4)(0.7142857114473978): chitibo, chitivo, chizabo, chizavo
ribon	ribon (3)(0.800000011920929): rabon, ribon, ricon
viloria	victoria, viloria (2)(0.75): victoria, viloria
sapuy	sapuy (1)(1.0): sapuy
grismaldo	grismaldos (4)(0.8499999940395355): grimaldo, grimaldos, grismaldo, grismaldos
echenique	echenique (1)(1.0): echenique
gitierrez	gutierrez (11)(0.8555555542310079): gitierrez, guierrez, guitierrez, gurtierrez, gutieeres, gutierez, gutierreez, gutierres, gutierrez, gutirrez, guutierrez
salomon	palomo (4)(0.7738095223903656): palom, paloma, palomo, salomon
atara	atara (1)(1.0): atara
ramires	ramirez (5)(0.8660714328289032): ramireez, ramires, ramirez, rammirez, ramoirez
neira	neira (5)(0.8166666626930237): neira, neita, neiva, neiza, neoira
fontecha	fontacha, fontecha (2)(0.875): fontacha, fontecha
ñeon	eon, leon, ñeon (3)(0.75): eon, leon, ñeon
gacha	gacha, gaucha (2)(0.8333333134651184): gacha, gaucha
becerrra	becerra (8)(0.8154761989911398): bacerra, becarra, beccera, beccerra, becera, becerra, becerrra, bercerra
briceño	briceño (1)(1.0): briceño
vepeda	cepeda (6)(0.8452380895614624): ceepeda, cepeda, cepedas, ncepeda, sepeda, vepeda
reyas	reyas, reyes (2)(0.800000011920929): reyas, reyes
esteve	esteve, esteves, estevez (3)(0.8571428656578064): esteve, esteves, estevez
triano	triano (3)(0.7738095223903656): soriano, triana, triano
nonsocua	monsocua (5)(0.75): monsocua, monsoque, monzocua, nonsocua, nonsoque
pirateque	pirataque, pirateque (4)(0.8333333432674408): pirabaque, piraneque, pirataque, pirateque
onate	onate, oñate (2)(0.800000011920929): onate, oñate
rusinque	rusinque, russinque (2)(0.8888888955116272): rusinque, russinque
capacho	camacho (3)(0.8660714328289032): camacho, camachor, capacho
bulla	fulla (4)(0.800000011920929): bulla, falla, fula, fulla
ritiva	ritiva (5)(0.8015873034795126): chitiva, cuitiva, rativa, riativa, ritiva
milton	milton (1)(1.0): milton
casalllas	casallas (3)(0.8819444477558136): casalla, casallas, casalllas
lavado	lavado, lavao (2)(0.8333333134651184): lavado, lavao
vasuqez	vasquez (8)(0.7857142984867096): basquez, maquez, vaquen, vaquez, vasques, vasquez, vasuqez, vazquez
pinedo	pinedo (4)(0.7738095223903656): pineda, pinedea, pinedo, tinedo
sanachez	sanchez (11)(0.8660714328289032): anchez, saanchez, sanachez, sanche, sanchea, sanches, sanchez, sanchezs, sanchsz, sanhez, zanchez
inocencio	inocencio (1)(1.0): inocencio
quiñonez	quiñones, quiñonez (4)(0.8125): quiñones, quiñonez, quiñoñez, quñones
espinal	espinal, espinel, espino, espinos (4)(0.761904776096344): espinal, espinel, espino, espinos
pasos	pasos (1)(1.0): pasos
rincom	rincon (4)(0.8452380895614624): ricon, rincom, rincon, rincxon
torrado	torrado (1)(1.0): torrado
doza	daza, diza, doza (3)(0.75): daza, diza, doza
gavilan	avilan, gavilan (2)(0.8571428656578064): avilan, gavilan
sanin	sandino (3)(0.7857142984867096): sadino, sandino, sanin
nazola	marzola, nazola (2)(0.7142857313156128): marzola, nazola
mejia	mejia (1)(1.0): mejia
rivero	rivero, riveros (2)(0.8571428656578064): rivero, riveros
dimate	dimate (1)(1.0): dimate
atilua	atilua, atilva (2)(0.8333333134651184): atilua, atilva
lorrota	larrota (6)(0.8154761989911398): larota, larotta, larrota, larrotta, larrotya, lorrota
aranzales	aranzales, arenales (2)(0.7777777910232544): aranzales, arenales
aris	aris (4)(0.7333333194255829): arias, aris, farias, paris
vicente	vicentes (3)(0.875): vicente, vicentes, vicents
mediina	medidna (4)(0.8571428656578064): medida, medidna, mediina, medina
abanza	abanza (1)(1.0): abanza
cabas	cabas (4)(0.800000011920929): cabas, casas, cañas, sabas
guecha	guecha, guicha (2)(0.8333333134651184): guecha, guicha
criales	reales, ruales (3)(0.7142857313156128): criales, reales, ruales
paiplla	paipilla (3)(0.8819444477558136): paipilla, paipillla, paiplla
stunkel	stunkel (1)(1.0): stunkel
banda	banda, bandera (2)(0.7142857313156128): banda, bandera
